input,target_position,completion,generated_text,is_correct
Emma follows Zoe. Mike follows Robert. Laura follows Linda. James follows Grace. Alex follows Ryan. Peter follows Olivia. Mary follows Jane. Mark follows Daniel. Paul follows Brian. Lisa follows Jake. Tom follows Karen. Susan follows Sophia. David follows Adam. John follows Jason. Kate follows Emily. Sarah follows Helen. Mike follows,2,Robert, Zoe.,False
Lisa follows Sophia. James follows Jake. Susan follows Jane. Kate follows Andrew. Paul follows Brian. John follows Lucy. Chris follows Helen. Mike follows Eric. Tom follows Olivia. Alex follows Karen. Sarah follows Jason. Amy follows Linda. Peter follows Emily. Mark follows Ryan. Anna follows Grace. David follows Zoe. James follows,2,Jake, Lisa.,False
Alex sees Eric. Tom sees Brian. John sees Sophia. Kate sees Robert. Paul sees Ryan. David sees Linda. Sarah sees Helen. James sees Grace. Laura sees Zoe. Peter sees Olivia. Anna sees Jake. Lisa sees Daniel. Emma sees Adam. Mark sees Lucy. Chris sees Andrew. Susan sees Jason. Tom sees,2,Brian, Kate.,False
Alex fears Emily. Lisa fears Lucy. Kate fears Jake. Mark fears Brian. Mary fears Helen. Susan fears Jason. Amy fears Ryan. Mike fears Linda. Peter fears Robert. James fears Andrew. John fears Eric. Tom fears Daniel. Anna fears Zoe. Chris fears Thomas. Emma fears Grace. Kevin fears Adam. Lisa fears,2,Lucy, Lucy.,True
Emma knows Brian. Mary knows Linda. Lisa knows Jane. Chris knows Jason. Kevin knows Emily. Amy knows Grace. Laura knows Olivia. Sarah knows Ryan. James knows Lucy. Peter knows Robert. Anna knows Karen. Mike knows Daniel. Tom knows Adam. Paul knows Sophia. Alex knows Thomas. Susan knows Eric. Mary knows,2,Linda, Lisa.,False
Kate wants Grace. Chris wants Emily. David wants Linda. John wants Helen. Mike wants Brian. Paul wants Ryan. Amy wants Karen. Emma wants Eric. Peter wants Jason. James wants Jane. Tom wants Sophia. Kevin wants Zoe. Mary wants Lucy. Alex wants Olivia. Lisa wants Adam. Sarah wants Robert. Chris wants,2,Emily, Grace.,False
Lisa calls Brian. Tom calls Daniel. Susan calls Andrew. Sarah calls Ryan. Mary calls Eric. Kate calls Lucy. Kevin calls Sophia. Alex calls Emily. Anna calls Karen. Chris calls Zoe. Amy calls Jane. Laura calls Robert. Peter calls Thomas. Emma calls Olivia. Mike calls Helen. Paul calls Jason. Tom calls,2,Daniel, Daniel.,True
Kate hates Olivia. Tom hates Eric. Mary hates Jane. Kevin hates Jason. Amy hates Daniel. Peter hates Jake. James hates Sophia. David hates Karen. Paul hates Helen. Laura hates Brian. Lisa hates Grace. Anna hates Lucy. Chris hates Linda. Mark hates Zoe. John hates Thomas. Sarah hates Ryan. Tom hates,2,Eric, Kate.,False
Sarah hates Olivia. Laura hates Brian. Lisa hates Adam. Mike hates Grace. Anna hates Sophia. Paul hates Karen. David hates Jason. James hates Thomas. Susan hates Emily. Alex hates Linda. Chris hates Lucy. Mark hates Eric. Kate hates Ryan. Kevin hates Daniel. Emma hates Helen. Tom hates Jake. Laura hates,2,Brian, Brian.,True
Susan knows Helen. James knows Sophia. Alex knows Karen. Mike knows Daniel. Amy knows Jake. Tom knows Linda. John knows Jane. Lisa knows Brian. Paul knows Zoe. David knows Jason. Mary knows Robert. Sarah knows Andrew. Kate knows Adam. Chris knows Eric. Anna knows Olivia. Kevin knows Grace. James knows,2,Sophia, Sophia.,True
Kate hates Daniel. Laura hates Helen. Susan hates Jane. Paul hates Olivia. Chris hates Andrew. Emma hates Jake. Peter hates Robert. Mary hates Zoe. David hates Brian. Tom hates Ryan. James hates Linda. Anna hates Karen. Sarah hates Sophia. Mark hates Jason. Lisa hates Lucy. Alex hates Emily. Laura hates,2,Helen, Helen.,True
Lisa helps Ryan. Mike helps Eric. Peter helps Helen. Mary helps Jane. Kate helps Sophia. James helps Jake. Sarah helps Adam. Tom helps Olivia. Alex helps Zoe. Emma helps Karen. Anna helps Thomas. John helps Andrew. Kevin helps Brian. Susan helps Linda. David helps Lucy. Paul helps Emily. Mike helps,2,Eric, Eric.,True
Kate likes Grace. Sarah likes Jake. Amy likes Brian. Lisa likes Andrew. Anna likes Linda. Chris likes Helen. Laura likes Sophia. Alex likes Thomas. John likes Jane. Kevin likes Jason. Peter likes Zoe. Emma likes Adam. Mark likes Eric. Mary likes Ryan. Tom likes Olivia. Paul likes Karen. Sarah likes,2,Jake, David.,False
John hates Ryan. Mary hates Lucy. David hates Andrew. Sarah hates Sophia. Mark hates Zoe. Alex hates Linda. James hates Karen. Susan hates Jason. Peter hates Jane. Tom hates Thomas. Chris hates Helen. Emma hates Adam. Anna hates Brian. Amy hates Olivia. Laura hates Grace. Lisa hates Jake. Mary hates,2,Lucy, Lucy.,True
James trusts Linda. Laura trusts Adam. Peter trusts Lucy. Kate trusts Grace. David trusts Emily. Paul trusts Daniel. Sarah trusts Eric. Mary trusts Sophia. Amy trusts Andrew. Mike trusts Ryan. John trusts Jason. Susan trusts Thomas. Mark trusts Brian. Kevin trusts Jane. Emma trusts Jake. Lisa trusts Karen. Laura trusts,2,Adam, Adam.,True
James asks Helen. Paul asks Jake. Alex asks Sophia. Kevin asks Zoe. Laura asks Jane. Sarah asks Emily. Peter asks Daniel. Chris asks Linda. Anna asks Jason. Lisa asks Grace. David asks Brian. Mark asks Thomas. Kate asks Ryan. Mary asks Adam. Mike asks Lucy. Amy asks Robert. Paul asks,2,Jake, Jane.,False
Paul likes Thomas. Mike likes Daniel. Emma likes Helen. John likes Grace. Sarah likes Ryan. Kate likes Brian. Mark likes Karen. Susan likes Sophia. Lisa likes Emily. Chris likes Jake. Tom likes Zoe. Peter likes Eric. Alex likes Linda. Anna likes Jason. James likes Adam. Laura likes Jane. Emma likes,3,Helen, David.,False
Sarah visits Thomas. Peter visits Daniel. Paul visits Karen. Mary visits Eric. Susan visits Emily. John visits Ryan. Laura visits Adam. Emma visits Jason. Tom visits Zoe. James visits Sophia. Mike visits Helen. Kevin visits Lucy. Lisa visits Olivia. Amy visits Jane. Anna visits Brian. Alex visits Andrew. Paul visits,3,Karen, Sarah.,False
Alex knows Andrew. Kate knows Brian. Chris knows Robert. Lisa knows Emily. Mike knows Sophia. David knows Eric. Susan knows Jake. Mary knows Helen. Sarah knows Jason. Amy knows Olivia. James knows Linda. Peter knows Zoe. John knows Grace. Kevin knows Lucy. Tom knows Ryan. Anna knows Jane. Chris knows,3,Robert, Robert.,True
Amy helps Eric. Alex helps Jane. Mary helps Zoe. Mark helps Sophia. Susan helps Ryan. Lisa helps Daniel. Mike helps Jason. Anna helps Linda. Emma helps Emily. David helps Grace. Chris helps Lucy. Sarah helps Karen. Kevin helps Adam. James helps Olivia. Kate helps Brian. Paul helps Robert. Mary helps,3,Zoe, Eric.,False
Lisa trusts Lucy. John trusts Adam. Sarah trusts Jake. Alex trusts Linda. Tom trusts Eric. Amy trusts Daniel. Kevin trusts Karen. James trusts Thomas. Mike trusts Andrew. Kate trusts Sophia. Emma trusts Helen. Paul trusts Zoe. Mary trusts Robert. Susan trusts Emily. Mark trusts Jason. Peter trusts Olivia. Sarah trusts,3,Jake, Jake.,True
Amy loves Jane. David loves Andrew. Paul loves Robert. Tom loves Thomas. Sarah loves Daniel. Mark loves Adam. James loves Grace. Peter loves Jason. Chris loves Eric. Alex loves Emily. Laura loves Jake. Lisa loves Linda. Susan loves Sophia. Kate loves Lucy. Emma loves Brian. Mary loves Ryan. Paul loves,3,Robert, Robert.,True
Amy wants Andrew. Tom wants Robert. James wants Helen. Sarah wants Thomas. David wants Adam. John wants Daniel. Mark wants Eric. Paul wants Karen. Alex wants Ryan. Emma wants Jason. Mike wants Lucy. Lisa wants Sophia. Anna wants Jake. Kate wants Emily. Susan wants Olivia. Chris wants Linda. James wants,3,Helen, Hannah.,False
Chris visits Brian. Sarah visits Karen. Kevin visits Sophia. Anna visits Thomas. John visits Adam. Paul visits Olivia. David visits Jake. Susan visits Grace. Tom visits Ryan. James visits Jane. Mark visits Jason. Mike visits Zoe. Lisa visits Lucy. Kate visits Eric. Peter visits Emily. Amy visits Linda. Kevin visits,3,Sophia, Sophia.,True
Susan tells Thomas. Mark tells Brian. Lisa tells Olivia. John tells Helen. Emma tells Daniel. Alex tells Adam. Mike tells Andrew. David tells Karen. Laura tells Lucy. James tells Jane. Anna tells Jason. Chris tells Sophia. Amy tells Eric. Kate tells Jake. Peter tells Robert. Paul tells Zoe. Lisa tells,3,Olivia, Oliver.,False
James follows Sophia. David follows Thomas. Kate follows Lucy. Tom follows Zoe. Peter follows Andrew. Kevin follows Jason. John follows Helen. Paul follows Jane. Susan follows Brian. Anna follows Robert. Mark follows Karen. Sarah follows Ryan. Alex follows Jake. Mike follows Daniel. Chris follows Olivia. Mary follows Linda. Kate follows,3,Lucy, Lucy.,True
Lisa likes Linda. Mark likes Eric. Mike likes Daniel. Laura likes Robert. Tom likes Karen. Alex likes Brian. Chris likes Emily. Anna likes Lucy. Kevin likes Jake. Amy likes Helen. James likes Thomas. Peter likes Andrew. Kate likes Jane. David likes Zoe. Emma likes Ryan. John likes Olivia. Mike likes,3,Daniel, Daniel.,True
Mark thanks Adam. Paul thanks Thomas. Laura thanks Lucy. Mary thanks Ryan. James thanks Jake. Tom thanks Jane. Anna thanks Sophia. Alex thanks Jason. Lisa thanks Karen. Peter thanks Brian. Sarah thanks Daniel. Susan thanks Grace. Kevin thanks Zoe. Chris thanks Eric. Amy thanks Emily. John thanks Helen. Laura thanks,3,Lucy, Lucy.,True
David calls Jane. Peter calls Jake. John calls Linda. Mike calls Ryan. Anna calls Daniel. Alex calls Robert. Lisa calls Jason. Emma calls Lucy. Tom calls Helen. Chris calls Eric. Paul calls Brian. Susan calls Thomas. Kevin calls Emily. Mark calls Grace. James calls Andrew. Laura calls Karen. John calls,3,Linda, Lisa.,False
Tom loves Emily. Susan loves Helen. Mike loves Jason. Mark loves Zoe. David loves Sophia. Lisa loves Ryan. Kate loves Jake. Anna loves Linda. John loves Andrew. James loves Thomas. Emma loves Olivia. Mary loves Jane. Alex loves Adam. Peter loves Lucy. Chris loves Grace. Amy loves Brian. Mike loves,3,Jason, Susan.,False
Sarah visits Linda. Kate visits Eric. Kevin visits Emily. Anna visits Karen. Susan visits Olivia. Paul visits Helen. John visits Sophia. Mary visits Daniel. Emma visits Jake. Laura visits Ryan. David visits Thomas. Mark visits Lucy. Alex visits Brian. Tom visits Robert. James visits Adam. Mike visits Zoe. Kevin visits,3,Emily, Emily.,True
James texts Jason. Mike texts Emily. Lisa texts Olivia. Mary texts Ryan. Sarah texts Grace. Anna texts Karen. John texts Jake. Kevin texts Sophia. Kate texts Jane. Chris texts Helen. Alex texts Daniel. Laura texts Eric. Tom texts Andrew. Susan texts Brian. Mark texts Robert. David texts Linda. Lisa texts,3,Olivia, Olivia.,True
Lisa meets Emily. Susan meets Grace. John meets Zoe. Paul meets Andrew. Mary meets Brian. Amy meets Robert. Kate meets Karen. Mark meets Eric. Kevin meets Adam. Mike meets Sophia. Laura meets Daniel. James meets Jane. Emma meets Lucy. Anna meets Helen. Tom meets Thomas. David meets Olivia. John meets,3,Zoe, Sarah.,False
Kevin pays Helen. Kate pays Thomas. Peter pays Olivia. Lisa pays Karen. Mike pays Robert. Tom pays Jake. Paul pays Grace. Chris pays Ryan. Mary pays Emily. Laura pays Jason. Amy pays Jane. Anna pays Lucy. Susan pays Sophia. Sarah pays Linda. James pays Andrew. Alex pays Zoe. Peter pays,3,Olivia, Olivia.,True
Emma wants Ryan. Mike wants Brian. Tom wants Grace. Sarah wants Jason. Anna wants Helen. Paul wants Daniel. Peter wants Jane. Kevin wants Jake. Mary wants Lucy. James wants Eric. David wants Karen. Amy wants Zoe. Mark wants Andrew. Lisa wants Adam. John wants Thomas. Susan wants Emily. Tom wants,3,Grace, Grace.,True
Mary knows Jason. Amy knows Jane. Sarah knows Andrew. Peter knows Sophia. Susan knows Ryan. Paul knows Karen. David knows Lucy. John knows Linda. Alex knows Helen. Anna knows Olivia. Emma knows Daniel. Mark knows Grace. James knows Eric. Chris knows Adam. Kate knows Jake. Lisa knows Brian. Sarah knows,3,Andrew, Andrew.,True
Susan sees Andrew. Emma sees Helen. Kate sees Emily. Anna sees Robert. Laura sees Jane. Tom sees Ryan. Mark sees Daniel. Peter sees Eric. Chris sees Jake. Alex sees Adam. Mike sees Karen. James sees Linda. Sarah sees Sophia. David sees Brian. Paul sees Thomas. Lisa sees Zoe. Anna sees,4,Robert, Robert.,True
Paul finds Lucy. Kate finds Emily. David finds Grace. Kevin finds Daniel. Mary finds Olivia. Chris finds Helen. Alex finds Andrew. Anna finds Robert. Emma finds Jane. Laura finds Jason. Mark finds Zoe. Mike finds Ryan. Sarah finds Thomas. Lisa finds Brian. Tom finds Linda. Amy finds Sophia. Kevin finds,4,Daniel, Daniel.,True
Amy meets Emily. Mike meets Jason. David meets Karen. John meets Zoe. Sarah meets Brian. Paul meets Jane. Alex meets Robert. Laura meets Helen. James meets Andrew. Mary meets Ryan. Anna meets Grace. Kevin meets Sophia. Susan meets Thomas. Emma meets Adam. Kate meets Lucy. Lisa meets Jake. John meets,4,Zoe, Zoe.,True
Lisa finds Ryan. James finds Daniel. Tom finds Jake. Kevin finds Olivia. John finds Linda. Mark finds Jane. Anna finds Helen. Mary finds Lucy. Laura finds Emily. Amy finds Sophia. Mike finds Adam. Paul finds Eric. Susan finds Grace. Emma finds Zoe. Peter finds Robert. Chris finds Brian. Kevin finds,4,Olivia, Olivia.,True
James likes Zoe. Anna likes Robert. David likes Adam. Emma likes Daniel. Mary likes Jane. Kate likes Helen. Laura likes Andrew. Peter likes Thomas. Chris likes Jake. Kevin likes Brian. Amy likes Emily. Mark likes Lucy. Lisa likes Grace. Tom likes Olivia. John likes Sophia. Susan likes Linda. Emma likes,4,Daniel, David.,False
Tom wants Daniel. Lisa wants Jake. Laura wants Linda. Chris wants Robert. Mary wants Emily. Anna wants Thomas. Peter wants Jason. Alex wants Adam. Sarah wants Olivia. Mark wants Eric. Kate wants Andrew. David wants Ryan. Emma wants Sophia. Kevin wants Zoe. John wants Lucy. Amy wants Helen. Chris wants,4,Robert, Robert.,True
Chris asks Adam. Peter asks Ryan. Mike asks Karen. Sarah asks Robert. Mark asks Olivia. David asks Jane. Emma asks Lucy. Tom asks Sophia. James asks Helen. Kevin asks Jason. Lisa asks Grace. Susan asks Thomas. Paul asks Zoe. John asks Brian. Anna asks Emily. Alex asks Andrew. Sarah asks,4,Robert, Robert.,True
Susan needs Thomas. Tom needs Adam. Chris needs Jane. Anna needs Jake. Lisa needs Daniel. Mike needs Eric. Kate needs Brian. Mark needs Linda. Kevin needs Lucy. James needs Helen. Emma needs Ryan. Paul needs Olivia. Sarah needs Grace. Laura needs Emily. Alex needs Sophia. Peter needs Zoe. Anna needs,4,Jake, Jake.,True
Peter thanks Brian. Paul thanks Linda. Emma thanks Olivia. Mary thanks Lucy. Anna thanks Grace. Amy thanks Sophia. Kate thanks Thomas. Mike thanks Andrew. Sarah thanks Eric. Tom thanks Karen. Chris thanks Helen. Susan thanks Jason. James thanks Ryan. Lisa thanks Zoe. Laura thanks Jake. Mark thanks Robert. Mary thanks,4,Lucy, Lucy.,True
Amy pays Emily. Mary pays Zoe. Mike pays Robert. Mark pays Thomas. Susan pays Daniel. Alex pays Sophia. Anna pays Ryan. Kevin pays Olivia. David pays Lucy. Chris pays Linda. Tom pays Jane. James pays Adam. Emma pays Andrew. Kate pays Jake. Paul pays Grace. Lisa pays Karen. Mark pays,4,Thomas, Sarah.,False
Emma thanks Daniel. Chris thanks Brian. Mark thanks Jason. John thanks Eric. Tom thanks Ryan. Mary thanks Zoe. Susan thanks Jane. Amy thanks Grace. Alex thanks Lucy. David thanks Adam. Kevin thanks Robert. James thanks Jake. Lisa thanks Linda. Kate thanks Karen. Peter thanks Sophia. Laura thanks Olivia. John thanks,4,Eric, Eric.,True
Mike asks Jane. Mark asks Helen. Sarah asks Sophia. James asks Olivia. Laura asks Zoe. Anna asks Jason. David asks Thomas. Emma asks Grace. Alex asks Brian. Paul asks Karen. Tom asks Ryan. Kate asks Linda. Peter asks Adam. John asks Robert. Kevin asks Lucy. Amy asks Jake. James asks,4,Olivia, Olivia.,True
Amy visits Lucy. Tom visits Jane. Mark visits Robert. Mary visits Grace. Alex visits Karen. James visits Daniel. Kate visits Sophia. John visits Linda. Sarah visits Thomas. Anna visits Eric. Chris visits Adam. Lisa visits Emily. Peter visits Olivia. Mike visits Helen. Kevin visits Andrew. Emma visits Ryan. Mary visits,4,Grace, George.,False
John likes Jane. Laura likes Brian. Mary likes Olivia. Anna likes Emily. James likes Eric. Mike likes Zoe. Peter likes Daniel. Amy likes Grace. Lisa likes Thomas. Alex likes Adam. Kevin likes Lucy. Susan likes Jake. Chris likes Linda. David likes Andrew. Sarah likes Sophia. Kate likes Jason. Anna likes,4,Emily, Eric.,False
Mike visits Karen. Anna visits Zoe. Chris visits Adam. Kevin visits Olivia. Paul visits Eric. Kate visits Robert. Tom visits Emily. David visits Grace. Sarah visits Daniel. Alex visits Andrew. Lisa visits Jake. Peter visits Jane. Laura visits Sophia. Mary visits Jason. James visits Lucy. Susan visits Helen. Kevin visits,4,Olivia, Olivia.,True
James finds Andrew. Susan finds Jane. David finds Linda. Emma finds Emily. Mark finds Robert. Kate finds Lucy. Laura finds Grace. Anna finds Ryan. John finds Eric. Chris finds Jake. Peter finds Jason. Amy finds Daniel. Paul finds Sophia. Sarah finds Zoe. Lisa finds Thomas. Kevin finds Helen. Emma finds,4,Emily, James.,False
Sarah needs Adam. Alex needs Jane. Mark needs Robert. Tom needs Grace. Emma needs Zoe. Lisa needs Emily. Anna needs Daniel. John needs Eric. David needs Ryan. Kevin needs Linda. James needs Jason. Paul needs Andrew. Mike needs Jake. Mary needs Olivia. Laura needs Karen. Peter needs Sophia. Tom needs,4,Grace, Grace.,True
Emma sees Sophia. Susan sees Linda. Lisa sees Andrew. Peter sees Zoe. Mary sees Ryan. Mark sees Daniel. Chris sees Grace. Tom sees Jason. Anna sees Adam. Alex sees Jake. Kevin sees Jane. Mike sees Emily. Paul sees Lucy. Laura sees Eric. David sees Olivia. Kate sees Brian. Peter sees,4,Zoe, Lucy.,False
Susan fears Brian. Mary fears Andrew. Paul fears Jake. Mike fears Jason. Lisa fears Ryan. Sarah fears Adam. Alex fears Jane. Kate fears Sophia. Anna fears Thomas. James fears Linda. Tom fears Daniel. Peter fears Emily. Emma fears Karen. Laura fears Helen. Mark fears Eric. Kevin fears Olivia. Mike fears,4,Jason, Samantha.,False
Laura fears Eric. Mike fears Helen. Emma fears Andrew. Tom fears Brian. Mary fears Sophia. Chris fears Olivia. Sarah fears Karen. Paul fears Thomas. Kate fears Jake. James fears Adam. Alex fears Zoe. Mark fears Ryan. John fears Emily. Peter fears Linda. Anna fears Jason. Susan fears Robert. Tom fears,4,Brian, Lisa.,False
Tom knows Jason. Mary knows Grace. Kevin knows Robert. Anna knows Lucy. Mark knows Andrew. Paul knows Karen. Chris knows Olivia. Alex knows Adam. Emma knows Thomas. Sarah knows Brian. Susan knows Sophia. Mike knows Ryan. Kate knows Jane. Laura knows Eric. John knows Jake. Lisa knows Zoe. Mark knows,5,Andrew, Sarah.,False
David meets Jason. Anna meets Lucy. Lisa meets Andrew. Kate meets Brian. Laura meets Daniel. Amy meets Emily. Alex meets Jake. Mark meets Grace. Susan meets Ryan. Tom meets Sophia. Chris meets Eric. Mary meets Olivia. Emma meets Zoe. Mike meets Thomas. James meets Jane. Peter meets Robert. Laura meets,5,Daniel, Daniel.,True
